FrameCounter,Timestamp,Flags,Region0R,Region1R,Region2G,Region3G,Region4G
178,29075.51213,18,0.016114416,0.0232667,0.090596669,0.062249718,0.003921569
179,29075.5177,20,0.012783841,0.018860309,0.35751634,0.453537937,0.011764706
180,29075.52323,17,0.025544042,0.025430489,0.095340502,0.058318933,0.003921569
181,29075.5288,18,0.016177456,0.023216546,0.090815412,0.062362618,0.003921569
182,29075.53434,20,0.012917799,0.018936734,0.357437276,0.453692311,0.012511671
183,29075.5399,17,0.025546669,0.025420936,0.095472275,0.058217553,0.003921569
184,29075.54547,18,0.016114416,0.023159227,0.090485979,0.062136817,0.003921569
185,29075.55101,20,0.01290204,0.018934346,0.357308138,0.453560978,0.011577965
186,29075.55658,17,0.025588695,0.025571398,0.095427472,0.058298196,0.003921569
187,29075.56211,18,0.016151189,0.023125791,0.090449083,0.062162162,0.003921569
188,29075.56768,20,0.012841627,0.018943899,0.357234345,0.453876639,0.012138189
189,29075.57322,17,0.025588695,0.025480643,0.095704196,0.058337365,0.003921569
190,29075.57878,18,0.016027737,0.023164004,0.090480708,0.061940969,0.003921569
191,29075.58432,20,0.012967706,0.018853144,0.357532153,0.453480335,0.012698413
192,29075.58989,17,0.025557175,0.025425712,0.09567257,0.058332757,0.003921569
193,29075.59546,18,0.016182709,0.023094743,0.090546595,0.061950185,0.003921569
194,29075.60099,20,0.012972959,0.01888658,0.357126291,0.453646229,0.012138189
195,29075.60656,17,0.025502016,0.02552602,0.095461733,0.058155342,0.003921569
196,29075.6121,18,0.01608815,0.023109073,0.090064305,0.061687519,0.003921569
197,29075.61766,20,0.01289416,0.01880299,0.357321316,0.453498767,0.012138189
198,29075.6232,17,0.02547575,0.025416159,0.094992621,0.05796871,0.003921569
199,29075.62877,18,0.01605663,0.023137733,0.089740143,0.061655261,0.003921569
200,29075.6343,20,0.012839,0.01887225,0.357197449,0.45371996,0.011764706
201,29075.63987,17,0.025575562,0.025339734,0.09490038,0.057738301,0.003921569
202,29075.64544,18,0.016009351,0.023078025,0.089813936,0.061457109,0.003921569
203,29075.65098,20,0.012925679,0.018843591,0.35742937,0.45365775,0.011577965
204,29075.65654,17,0.025538789,0.025344511,0.09461575,0.057517108,0.003921569
205,29075.66208,18,0.015977831,0.023058919,0.089611006,0.061461717,0.003921569
206,29075.66765,20,0.012888906,0.018810155,0.357432005,0.453648533,0.011951447
207,29075.67318,17,0.025488883,0.025382723,0.094694813,0.057627704,0.003921569
208,29075.67875,18,0.015888526,0.023082802,0.089336918,0.061424852,0.003921569
209,29075.68429,20,0.01286264,0.018910463,0.357118385,0.45356789,0.012138189
210,29075.68986,17,0.025399577,0.025270474,0.094971537,0.057484851,0.003921569
211,29075.69542,18,0.015983084,0.023032648,0.089518764,0.061427156,0.003921569
212,29075.70096,20,0.012907293,0.018893745,0.357292326,0.453678487,0.011951447
213,29075.70653,17,0.025509896,0.025356452,0.095108581,0.057551669,0.003921569
214,29075.71206,18,0.016030364,0.023118626,0.08937645,0.061323472,0.003921569
215,29075.71763,20,0.012896786,0.018810155,0.357236981,0.453733785,0.01232493
216,29075.72317,17,0.025478376,0.025296745,0.094462893,0.05761388,0.003921569
217,29075.72874,18,0.016030364,0.023078025,0.088891524,0.061314255,0.003921569
218,29075.73427,20,0.012957199,0.018879415,0.357226439,0.453761434,0.01232493
219,29075.73984,17,0.025383817,0.025272862,0.093825111,0.05727057,0.003921569
220,29075.74541,18,0.015899032,0.022992047,0.088617436,0.061325776,0.003921569
221,29075.75094,20,0.012962452,0.01891524,0.35720272,0.453577107,0.011764706
222,29075.75651,17,0.025415337,0.025356452,0.093685431,0.057314348,0.003921569
223,29075.76205,18,0.015817606,0.023147286,0.088564727,0.061201355,0.003921569
224,29075.76762,20,0.012928306,0.018826873,0.357197449,0.453328264,0.011391223
225,29075.77315,17,0.025331285,0.025232261,0.093862007,0.057201447,0.003921569
226,29075.77872,18,0.015988338,0.023023095,0.088830909,0.06113684,0.003921569
227,29075.78429,20,0.012928306,0.018826873,0.35674942,0.453067902,0.011764706
228,29075.78982,17,0.025315525,0.025215543,0.094030677,0.057093155,0.003921569
229,29075.79539,18,0.015872766,0.023082802,0.088685958,0.061051589,0.003921569
230,29075.80093,20,0.012896786,0.018881804,0.35734767,0.453482639,0.011764706
231,29075.8065,17,0.025326031,0.025344511,0.094136095,0.057060897,0.003921569
232,29075.81203,18,0.015851753,0.022910845,0.088604259,0.061058501,0.003921569
233,29075.8176,20,0.012949319,0.018908075,0.357210626,0.45350568,0.011764706
234,29075.82317,17,0.025375937,0.02522032,0.093904175,0.05707933,0.003921569
235,29075.8287,18,0.015888526,0.023008765,0.0886965,0.061010115,0.003921569
236,29075.83427,20,0.012883653,0.018824485,0.35742937,0.453676183,0.011951447
237,29075.83981,17,0.025339164,0.025334957,0.09344824,0.05707933,0.003921569
238,29075.84541,18,0.015922672,0.022882186,0.088656968,0.060954817,0.003921569
239,29075.85091,20,0.012907293,0.018877027,0.357226439,0.453676183,0.011951447
240,29075.85648,17,0.025373311,0.02522032,0.093938436,0.057053985,0.003921569
241,29075.86205,18,0.015912165,0.022958611,0.088891524,0.060853437,0.003921569
242,29075.86758,20,0.012923053,0.018786272,0.357102572,0.453355913,0.011951447
243,29075.87315,17,0.025289258,0.025208378,0.093814569,0.056966429,0.003921569
244,29075.87869,18,0.015964698,0.023101908,0.0890681,0.060768185,0.003921569
245,29075.88426,20,0.01285476,0.018845979,0.357679739,0.453678487,0.011951447
246,29075.88979,17,0.02542847,0.025315851,0.093811933,0.056931868,0.003921569
247,29075.89539,18,0.015904285,0.023078025,0.088938963,0.060740536,0.003921569
248,29075.9009,20,0.012917799,0.018850756,0.357363483,0.453261446,0.011951447
249,29075.90646,17,0.025399577,0.025330181,0.094035948,0.056869657,0.003921569
250,29075.91203,18,0.015948938,0.022939505,0.089094455,0.060646068,0.003921569
251,29075.91757,20,0.012896786,0.018877027,0.357366118,0.453703832,0.01232493
252,29075.92314,17,0.02542847,0.025272862,0.094117647,0.056922652,0.003921569
253,29075.92867,18,0.015951565,0.022889351,0.089047017,0.06079353,0.003921569
254,29075.93424,20,0.013030745,0.018884192,0.357207991,0.453643925,0.012138189
255,29075.93978,17,0.025381191,0.02522032,0.094151908,0.056936476,0.003921569
256,29075.94541,18,0.015985711,0.022956223,0.088994307,0.060671413,0.003921569
257,29075.95088,20,0.012917799,0.018822096,0.356928632,0.453434253,0.011764706
258,29075.95645,17,0.025354924,0.025189272,0.093782943,0.056683026,0.003921569
259,29075.96202,18,0.015954191,0.023051754,0.088862534,0.060609203,0.003921569
260,29075.96755,20,0.012928306,0.018805378,0.357263335,0.453554066,0.012138189
261,29075.97312,17,0.025357551,0.025196437,0.093672254,0.056763669,0.003921569
262,29075.97866,18,0.015948938,0.02294667,0.088891524,0.060526255,0.003921569
